Acropolis Institute of Technology & Research Indore (2005),INDORE,2024,FIRST,PRIVATE,EEVDT,676210,1309886,EWS,PR
Acropolis Institute of Technology & Research Indore (2005),INDORE,2024,FIRST,PRIVATE,EEVDT,401287,633387,FW/OP,PR
Acropolis Institute of Technology & Research Indore (2005),INDORE,2024,FIRST,PRIVATE,EEVDT,326628,1390944,UR/X/OP,PR
Acropolis Institute of Technology & Research Indore (2005),INDORE,2024,FIRST,PRIVATE,IT,228455,353224,EWS,PR
Acropolis Institute of Technology & Research Indore (2005),INDORE,2024,FIRST,PRIVATE,IT,88288,186362,FW/OP,PR
Acropolis Institute of Technology & Research Indore (2005),INDORE,2024,FIRST,PRIVATE,IT,383086,698177,OBC/X/OP,PR
Acropolis Institute of Technology & Research Indore (2005),INDORE,2024,FIRST,PRIVATE,IT,801030,1337693,SC/X/OP,PR
Acropolis Institute of Technology & Research Indore (2005),INDORE,2024,FIRST,PRIVATE,IT,222710,381623,UR/X/OP,PR
Acropolis Institute of Technology & Research Indore (2005),INDORE,2024,FIRST,PRIVATE,MECH,701416,1359760,EWS,PR
Acropolis Institute of Technology & Research Indore (2005),INDORE,2024,FIRST,PRIVATE,MECH,279103,524723,FW/OP,PR
Acropolis Institute of Technology & Research Indore (2005),INDORE,2024,FIRST,PRIVATE,MECH,959505,1400209,OBC/X/OP,PR
Acropolis Institute of Technology & Research Indore (2005),INDORE,2024,FIRST,PRIVATE,MECH,332329,907271,UR/X/OP,PR
Adina Institute of Science & Technology Sagar (2009),SAGAR,2024,FIRST,PRIVATE,CE,969101,969101,UR/X/OP,PR
Adina Institute of Science & Technology Sagar (2009),SAGAR,2024,FIRST,PRIVATE,CSE,1085764,1216058,EWS,PR
Adina Institute of Science & Technology Sagar (2009),SAGAR,2024,FIRST,PRIVATE,CSE,178177,910081,FW/OP,PR
Adina Institute of Science & Technology Sagar (2009),SAGAR,2024,FIRST,PRIVATE,CSE,468274,1385207,UR/X/OP,PR
Adina Institute of Science & Technology Sagar (2009),SAGAR,2024,FIRST,PRIVATE,CSEAI,922349,922349,EWS,PR
Adina Institute of Science & Technology Sagar (2009),SAGAR,2024,FIRST,PRIVATE,CSEAI,536335,1128707,FW/OP,PR
Adina Institute of Science & Technology Sagar (2009),SAGAR,2024,FIRST,PRIVATE,CSEAI,1078484,1282298,UR/X/OP,PR
Aditya College of Technology & Science Satna (2007),SATNA,2024,FIRST,PRIVATE,AGRITECH,738174,738174,FW/OP,PR
Aditya College of Technology & Science Satna (2007),SATNA,2024,FIRST,PRIVATE,CE,1411003,1411003,UR/X/OP,PR
Aditya College of Technology & Science Satna (2007),SATNA,2024,FIRST,PRIVATE,CSE,809062,995665,FW/OP,PR
Aditya College of Technology & Science Satna (2007),SATNA,2024,FIRST,PRIVATE,CSE,254198,1170455,UR/X/OP,PR
Aditya College of Technology & Science Satna (2007),SATNA,2024,FIRST,PRIVATE,FTS,991740,991740,UR/X/OP,PR
Aditya College of Technology & Science Satna (2007),SATNA,2024,FIRST,PRIVATE,MINING,842796,842796,UR/X/OP,PR
All Saints College of Technology Bhopal (2002),BHOPAL,2024,FIRST,PRIVATE,CSE,325551,929446,FW/OP,PR
All Saints College of Technology Bhopal (2002),BHOPAL,2024,FIRST,PRIVATE,CSE,545599,1000944,UR/X/OP,PR
All Saints College of Technology Bhopal (2002),BHOPAL,2024,FIRST,PRIVATE,EC,1149956,1149956,UR/X/OP,PR
Alpine Institute of Technology Ujjain (2007),UJJAIN,2024,FIRST,PRIVATE,CSE,1120528,1120528,EWS,PR
Alpine Institute of Technology Ujjain (2007),UJJAIN,2024,FIRST,PRIVATE,CSE,890183,1414942,UR/X/OP,PR
Alpine Institute of Technology Ujjain (2007),UJJAIN,2024,FIRST,PRIVATE,MECH,1276348,1276348,UR/X/OP,PR
Annie Institute of Technology and Research Centre Chhindwara (2013),CHHINDWARA,2024,FIRST,PRIVATE,CSE,1352919,1352919,UR/X/OP,PR
Astral Institute of Technology & Research Indore (2006),INDORE,2024,FIRST,PRIVATE,CE,1183264,1183264,UR/X/OP,PR
Astral Institute of Technology & Research Indore (2006),INDORE,2024,FIRST,PRIVATE,CSE,1208746,1208746,EWS,PR
Astral Institute of Technology & Research Indore (2006),INDORE,2024,FIRST,PRIVATE,CSE,533838,993674,FW/OP,PR
Astral Institute of Technology & Research Indore (2006),INDORE,2024,FIRST,PRIVATE,CSE,81304,1281433,UR/X/OP,PR
Babulal Tarabai Institute of Research & Technology Sagar (2008),SAGAR,2024,FIRST,PRIVATE,CE,762528,1413394,UR/X/OP,PR
Babulal Tarabai Institute of Research & Technology Sagar (2008),SAGAR,2024,FIRST,PRIVATE,CSE,1309759,1309759,EWS,PR
Babulal Tarabai Institute of Research & Technology Sagar (2008),SAGAR,2024,FIRST,PRIVATE,CSE,1024166,1279528,FW/OP,PR
Babulal Tarabai Institute of Research & Technology Sagar (2008),SAGAR,2024,FIRST,PRIVATE,CSE,337011,1353578,UR/X/OP,PR
Babulal Tarabai Institute of Research & Technology Sagar (2008),SAGAR,2024,FIRST,PRIVATE,CSECS,973876,1324984,UR/X/OP,PR
Babulal Tarabai Institute of Research & Technology Sagar (2008),SAGAR,2024,FIRST,PRIVATE,CSEIML,538884,748005,FW/OP,PR
Babulal Tarabai Institute of Research & Technology Sagar (2008),SAGAR,2024,FIRST,PRIVATE,CSEIML,528435,1396737,UR/X/OP,PR
Babulal Tarabai Institute of Research & Technology Sagar (2008),SAGAR,2024,FIRST,PRIVATE,ELECT ELEX,1380431,1380431,UR/X/OP,PR
Babulal Tarabai Institute of Research & Technology Sagar (2008),SAGAR,2024,FIRST,PRIVATE,MECH,796933,796933,UR/X/OP,PR
